RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2012,Drafted?,Draft Pick,Draft Year
1,Reggie Hamilton,G,36,35.7,26.2,7.8,17.5,44.6,3.3,7.8,42.0,7.3,8.3,87.6,3.8,5.1,2.0,0.1,3.7,,,,,,
2,Umar Shannon,G,1,35.0,26.0,7.0,14.0,50.0,3.0,8.0,37.5,9.0,10.0,90.0,2.0,1.0,1.0,0.0,5.0,,,,,,
3,Damian Lillard,G,32,34.5,24.5,7.2,15.5,46.7,2.9,7.2,40.9,7.1,8.0,88.7,5.0,4.0,1.5,0.2,2.3,Yes,6.0,2012.0,Yes,6.0,2012.0
4,Doug McDermott,F,35,31.9,22.9,8.8,14.6,60.1,1.5,3.2,48.6,3.8,4.8,79.6,8.2,1.1,0.2,0.1,2.3,Yes,11.0,2014.0,,,
5,Quincy Roberts,G,21,35.5,22.7,7.1,17.3,40.9,1.9,5.8,32.0,6.7,8.3,80.0,5.7,1.5,1.0,0.2,3.6,,,,,,
6,Shane Gibson,G,32,33.8,22.0,7.9,15.5,51.0,2.7,6.3,43.3,3.5,4.1,86.2,4.7,2.2,1.5,0.3,3.2,,,,,,
7,CJ McCollum,G,35,33.1,21.9,7.3,16.4,44.3,1.7,5.0,34.1,5.7,7.0,81.1,6.5,3.5,2.6,0.5,2.3,Yes,10.0,2013.0,,,
8,Terrell Stoglin,G,32,32.7,21.6,6.9,16.7,41.3,2.8,7.4,38.4,5.0,6.3,78.7,3.4,1.9,0.7,0.1,2.2,,,,,,
9,Gerardo Suero,G,32,31.7,21.5,6.9,15.0,45.9,0.9,2.5,35.8,6.9,8.3,83.0,5.8,3.1,1.3,0.3,4.2,,,,,,
10,Nate Wolters,G,34,35.8,21.2,7.4,16.4,44.8,1.0,4.0,24.1,5.5,7.1,78.3,5.1,5.9,1.7,0.1,2.2,Yes,38.0,2013.0,,,
11,Frank Gaines,G,30,32.1,21.2,6.9,15.5,44.5,1.6,4.7,34.5,5.7,7.7,74.8,5.9,1.2,1.4,0.6,2.6,,,,,,
12,Kevin Murphy,G,33,34.5,20.6,7.2,16.3,44.4,2.4,5.8,41.6,3.8,5.2,72.1,5.2,2.3,0.8,0.2,3.3,Yes,47.0,2012.0,Yes,47.0,2012.0
13,Colt Ryan,G-F,32,36.3,20.5,6.2,14.1,44.2,2.3,5.3,43.8,5.8,6.8,84.4,4.2,3.3,1.9,0.2,2.4,,,,,,
14,Nick Barbour,G,31,32.7,20.4,6.0,13.4,44.6,3.5,7.2,48.4,5.0,6.0,82.9,2.5,1.4,1.1,0.4,1.7,,,,,,
15,Alex Young,G-F,32,32.8,20.4,6.8,16.1,42.4,1.8,5.4,33.9,4.9,6.0,81.7,5.9,2.2,1.6,1.0,2.4,,,,,,
16,J'Covan Brown,G,34,35.6,20.1,6.6,15.7,41.7,2.4,6.4,36.9,4.6,5.4,86.3,3.4,3.8,1.2,0.1,2.7,,,,,,
17,John Shurna,F,33,37.3,20.0,6.9,14.9,46.3,2.9,6.5,44.0,3.3,4.4,75.3,5.4,2.8,1.2,1.7,1.6,,,,,,
18,Kevin Jones,F,33,38.3,19.9,7.9,15.5,50.9,1.0,3.9,26.6,3.1,4.0,78.0,10.9,1.2,0.7,1.0,1.3,,,,,,
19,Mike Moore,G,32,34.6,19.9,6.3,14.9,41.9,2.5,6.5,39.1,4.9,6.0,81.7,4.6,2.1,1.7,0.1,2.9,,,,,,
20,John Jenkins,G,35,33.6,19.9,6.2,13.1,47.4,3.8,8.7,43.9,3.7,4.4,83.7,2.9,1.2,0.8,0.3,1.6,Yes,23.0,2012.0,Yes,23.0,2012.0
21,Dominique Morrison,F,34,36.5,19.8,6.3,13.0,48.8,1.6,3.8,42.3,5.6,6.7,82.5,4.3,1.6,0.8,0.4,1.7,,,,,,
22,Orlando Johnson,G,31,34.4,19.7,6.7,14.8,45.1,2.3,5.3,42.7,4.1,5.9,69.8,5.8,2.9,1.1,0.7,2.5,Yes,36.0,2012.0,Yes,36.0,2012.0
23,Darryl Partin,G,32,33.7,19.6,6.8,16.8,40.7,2.2,6.9,31.2,3.8,5.3,71.9,3.9,1.1,1.1,0.1,3.2,,,,,,
24,Marshawn Powell,F,2,21.5,19.5,7.5,10.5,71.4,0.0,1.0,0.0,4.5,6.5,69.2,6.0,1.5,1.0,1.5,4.0,,,,,,
25,Antwan Carter,C,31,34.0,19.4,7.9,15.5,51.0,0.7,2.4,30.7,2.8,4.0,71.5,9.2,1.3,1.0,0.9,2.3,,,,,,
26,Charles Odum,G,32,31.4,19.1,6.0,11.3,52.9,1.2,3.5,33.9,5.9,7.1,83.3,3.9,2.6,0.9,0.2,2.9,,,,,,
27,Isaiah Canaan,G,33,33.7,19.0,5.7,12.1,46.8,3.0,6.5,45.6,4.7,5.6,83.7,3.5,3.6,1.4,0.1,2.7,Yes,34.0,2013.0,,,
27,George Beamon,G,33,32.0,19.0,6.4,13.1,48.6,1.8,4.3,42.7,4.4,5.5,80.1,5.6,2.0,1.5,0.5,2.7,,,,,,
29,Ken Horton,F,28,34.5,19.0,6.9,14.0,49.1,1.6,5.3,31.3,3.6,4.5,80.2,8.9,1.7,2.1,1.4,1.9,,,,,,
30,Devon Saddler,G,32,35.6,18.8,6.0,15.4,39.1,1.8,5.9,31.1,4.9,6.2,80.2,4.1,1.8,0.8,0.3,3.2,,,,,,
31,Tim Frazier,G,32,37.1,18.8,6.5,15.5,41.9,0.8,2.7,31.4,5.0,6.3,79.1,4.7,6.2,2.4,0.2,3.7,,,,,,
32,Charlie Westbrook,G,28,32.4,18.7,6.5,14.1,46.4,1.3,3.4,38.9,4.3,5.6,76.6,4.0,2.2,1.7,0.9,2.5,,,,,,
33,Wendell McKines,F,35,33.7,18.7,6.7,14.4,46.1,1.5,4.1,35.2,3.9,5.1,76.0,10.7,1.5,0.8,0.4,2.0,,,,,,
34,Andrew Nicholson,F,32,30.1,18.5,6.9,12.0,57.1,0.7,1.7,43.4,4.0,5.2,77.6,8.4,1.0,0.7,2.0,2.5,Yes,19.0,2012.0,Yes,19.0,2012.0
35,Charles Hinkle,F,32,34.3,18.4,5.5,13.5,40.6,2.7,6.3,41.9,4.8,5.8,83.8,5.4,1.8,0.9,0.4,2.1,,,,,,
36,Trevis Simpson,G-F,30,27.8,18.3,6.2,16.2,38.3,2.0,6.5,31.1,3.9,5.2,75.5,4.2,0.7,0.8,0.2,2.2,,,,,,
37,Darius Johnson-Odom,G,34,32.9,18.3,6.2,13.8,44.7,2.3,5.9,38.5,3.7,4.9,76.4,3.5,2.7,0.9,0.1,2.4,Yes,55.0,2012.0,Yes,55.0,2012.0
38,Mike Glover,F,33,33.6,18.3,7.2,11.4,63.7,0.0,0.0,0.0,3.8,5.9,64.9,9.0,1.0,1.0,1.2,2.7,,,,,,
39,Darrion Pellum,G,33,38.5,18.3,5.9,16.4,36.2,2.2,7.4,29.6,4.2,5.6,75.5,4.2,1.7,1.2,0.3,3.2,,,,,,
